City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
237,Port Hedland,AU,-20.3167,118.5667,87.85,23,0,4.61,clear sky
238,Uyuni,BO,-20.4597,-66.825,50.95,28,11,4.41,few clouds
239,Valka,LV,57.7752,26.0101,40.17,67,100,4.7,overcast clouds
240,Cidreira,BR,-30.1811,-50.2056,63.61,78,98,17.45,overcast clouds
241,Adelaide,AU,-34.9333,138.6,71.55,48,75,5.99,broken clouds
242,Kashi,CN,39.4547,75.9797,51.01,29,40,11.18,dust
243,Berlevag,NO,70.8578,29.0864,36.97,70,100,8.32,overcast clouds
244,Torbay,CA,47.6666,-52.7314,47.57,84,90,26.46,light rain
245,Lat Yao,TH,15.751,99.7893,82.49,76,99,1.59,overcast clouds
246,Manacapuru,BR,-3.2997,-60.6206,77.58,94,100,2.84,overcast clouds
247,Farso,DK,56.7728,9.3393,49.73,94,95,4.83,overcast clouds
248,Thinadhoo,MV,0.5333,72.9333,83.05,70,98,10.63,overcast clouds
249,Shimoda,JP,34.6667,138.95,77.36,70,35,11.52,scattered clouds
250,Kloulklubed,PW,7.0419,134.2556,83.98,75,95,21.9,moderate rain
251,Kavieng,PG,-2.5744,150.7967,82.76,75,86,10.16,moderate rain
252,Vidalia,US,32.2177,-82.4135,73.35,94,90,0.0,overcast clouds
253,Maniitsoq,GL,65.4167,-52.9,32.72,49,18,7.11,few clouds
254,San Borja,BO,-14.8167,-66.85,81.37,57,90,2.95,overcast clouds
255,Yarada,IN,17.65,83.2667,82.72,89,75,4.61,mist
256,Revelstoke,CA,50.9832,-118.2023,42.82,81,1,0.0,clear sky
257,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,84,4,6.87,clear sky
258,Buchanan,LR,5.8808,-10.0467,76.96,90,76,5.53,light rain
259,Novoselytsya,UA,48.2193,26.2653,42.37,57,31,4.76,scattered clouds
260,Palasa,IN,18.7667,84.4167,82.29,80,28,2.89,scattered clouds
261,Vestmanna,FO,62.1564,-7.1664,49.12,100,90,4.61,overcast clouds
262,Duobao,CN,30.67,112.6895,63.45,79,100,10.27,overcast clouds
263,Namatanai,PG,-3.6667,152.4333,78.98,89,100,7.85,moderate rain
264,Broome,US,42.2506,-75.833,65.86,81,1,1.99,clear sky
265,Napa,US,38.4832,-122.3344,60.87,58,100,10.29,overcast clouds
266,Luderitz,NA,-26.6481,15.1594,55.35,62,21,11.12,few clouds
267,Bredasdorp,ZA,-34.5322,20.0403,59.29,77,40,5.75,scattered clouds
268,Namtsy,RU,62.7161,129.6658,35.71,90,100,6.29,light rain
269,Tuatapere,NZ,-46.1333,167.6833,55.81,53,23,6.06,few clouds
270,Lagoa,PT,39.05,-27.9833,68.38,66,3,8.66,clear sky
271,Kodino,RU,63.7198,39.6447,39.97,96,100,3.56,light rain
272,Safaga,EG,26.7292,33.9365,75.15,53,0,16.91,clear sky
273,Bud,US,39.447,-86.1758,67.55,93,7,3.18,clear sky
274,Jamestown,US,42.097,-79.2353,68.18,82,75,5.75,broken clouds
275,Kalach-Na-Donu,RU,48.691,43.5264,36.72,50,0,7.27,clear sky
276,Robertsport,LR,6.7533,-11.3686,78.98,83,100,6.69,light rain
277,Pangnirtung,CA,66.1451,-65.7125,35.06,77,100,3.85,overcast clouds
278,Ceres,US,37.5949,-120.9577,66.11,45,1,18.41,clear sky
279,Half Moon Bay,US,37.4636,-122.4286,61.29,75,75,16.11,broken clouds
280,Pimenta Bueno,BR,-11.6725,-61.1936,75.18,90,94,3.09,overcast clouds
281,Puerto Carreno,CO,6.189,-67.4859,76.77,90,99,5.01,light rain
282,Fortuna,US,40.5982,-124.1573,59.94,70,98,1.99,overcast clouds
283,Cabedelo,BR,-6.9811,-34.8339,75.87,83,100,11.39,overcast clouds
284,Talnakh,RU,69.4865,88.3972,25.84,93,100,3.58,overcast clouds
285,Lakatoro,VU,-16.0999,167.4164,81.41,74,99,13.29,overcast clouds
286,Codrington,AU,-38.2667,141.9667,65.05,56,79,10.51,broken clouds
287,Baruun-Urt,MN,46.6806,113.2792,46.92,74,100,2.55,overcast clouds
288,Manggar,ID,-2.8833,108.2667,85.15,68,82,10.29,broken clouds
289,Bousse,BF,12.6606,-1.8922,80.17,41,35,3.74,scattered clouds
290,Souillac,MU,-20.5167,57.5167,70.18,83,75,3.44,broken clouds
291,Sabha,LY,27.0377,14.4283,74.07,18,0,11.81,clear sky
292,Dunedin,NZ,-45.8742,170.5036,52.29,85,100,7.61,overcast clouds
293,Les Herbiers,FR,46.8667,-1.0167,52.07,87,7,7.7,clear sky
294,Almaznyy,RU,48.0448,40.045,35.74,45,89,12.37,overcast clouds
295,Samarai,PG,-10.6167,150.6667,81.34,79,32,14.52,scattered clouds
296,Coahuayana,MX,18.7333,-103.6833,89.08,89,99,1.86,overcast clouds
297,Portland,US,45.5234,-122.6762,59.2,68,90,1.01,overcast clouds
298,Kokopo,PG,-4.352,152.2633,78.69,87,66,7.05,moderate rain
299,Hami,CN,42.8,93.45,38.84,45,0,6.76,clear sky
300,Georgetown,MY,5.4112,100.3354,83.89,83,20,1.99,few clouds
301,Lesnikovo,RU,55.2822,65.3175,33.91,73,6,7.29,clear sky
302,Westport,US,41.1415,-73.3579,68.76,88,75,5.99,broken clouds
303,Harlingen,US,26.1906,-97.6961,82.58,84,1,6.91,clear sky
304,Aklavik,CA,68.2191,-135.0107,32.83,85,17,4.68,few clouds
305,Pundri,IN,29.75,76.55,76.3,55,0,2.59,clear sky
306,Freeport,US,40.6576,-73.5832,70.99,75,90,3.0,overcast clouds
307,Athabasca,CA,54.7169,-113.2854,49.82,42,3,6.62,clear sky
308,Yerkoy,TR,39.6381,34.4672,53.31,45,78,2.73,broken clouds
309,Aksarka,RU,66.5606,67.7975,35.24,83,100,20.42,overcast clouds
310,Sitka,US,57.0531,-135.33,46.29,76,90,17.27,moderate rain
311,Jacmel,HT,18.2342,-72.5347,84.04,83,0,4.56,clear sky
312,Chestermere,CA,51.0334,-113.8187,49.03,27,20,11.5,few clouds
313,La Ronge,CA,55.1001,-105.2842,53.85,43,1,8.05,clear sky
314,Roma,US,43.2128,-75.4557,65.43,85,1,5.75,clear sky
315,Igrim,RU,63.1906,64.4162,37.11,68,10,15.41,clear sky
316,Aurillac,FR,44.9167,2.45,42.01,93,0,3.44,clear sky
317,Semey,KZ,50.4111,80.2275,28.62,93,0,6.71,clear sky
318,Ahipara,NZ,-35.1667,173.1667,60.84,62,41,11.59,scattered clouds
319,Pimentel,PE,-6.8367,-79.9342,63.79,89,58,12.8,broken clouds
320,Ko Samui,TH,9.5357,99.9357,84.11,74,20,6.91,few clouds
321,Strezhevoy,RU,60.7333,77.5889,42.78,71,100,16.22,overcast clouds
322,Emba,KZ,48.8264,58.1442,40.64,56,2,6.58,clear sky
323,Kununurra,AU,-15.7667,128.7333,94.98,29,5,12.66,clear sky
324,Escanaba,US,45.7453,-87.0646,64.67,96,90,4.61,mist
325,Maragogi,BR,-9.0122,-35.2225,75.36,84,82,6.73,broken clouds
326,Adrar,MR,20.5022,-10.0711,85.75,10,87,6.96,overcast clouds
327,Buala,SB,-8.145,159.5921,84.94,71,92,6.33,light rain
328,Vardo,NO,70.3705,31.1107,37.99,64,100,5.17,overcast clouds
329,Sungaipenuh,ID,-2.0833,101.3833,74.03,78,85,1.12,overcast clouds
330,Faanui,PF,-16.4833,-151.75,78.67,69,23,4.07,few clouds
331,Port-Cartier,CA,50.0334,-66.8654,36.75,65,7,1.99,clear sky
332,Pangai,TO,-19.8,-174.35,77.23,79,12,11.63,few clouds
333,Larap,PH,14.299,122.6504,84.78,73,98,7.65,overcast clouds
334,Navahrudak,BY,53.6,25.8333,34.25,79,0,4.05,clear sky
335,Yar-Sale,RU,66.8333,70.8333,33.33,82,100,16.08,overcast clouds
336,Walvis Bay,NA,-22.9575,14.5053,54.09,93,0,3.44,clear sky
337,Port Blair,IN,11.6667,92.75,78.84,94,75,9.22,drizzle
338,Bejuco,PA,8.6,-79.8833,77.04,86,85,5.97,overcast clouds
339,Partenit,UA,44.578,34.3446,51.21,74,100,14.45,overcast clouds
340,Sorong,ID,-0.8833,131.25,84.15,75,76,10.74,broken clouds
341,Calbuco,CL,-41.768,-73.1273,43.81,84,0,6.35,clear sky
342,Vao,NC,-22.6667,167.4833,70.11,64,93,14.09,overcast clouds
343,Elmina,GH,5.0898,-1.348,77.52,90,100,7.83,overcast clouds
344,Poddorye,RU,57.4695,31.1156,36.23,80,51,5.12,broken clouds
345,Hachinohe,JP,40.5,141.5,67.82,66,96,3.91,overcast clouds
346,San Joaquin,US,37.9333,-121.3011,65.28,54,1,17.27,clear sky
