City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
372,Tabou,CI,76.78,overcast clouds,4.423,-7.3528,hotêl doufoulougou
373,Tezu,IN,82.67,clear sky,27.9167,96.1667,Circuit House
374,Kahului,US,85.26,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
376,Luwuk,ID,86.49,clear sky,-0.9516,122.7875,Hotel Santika Luwuk
379,Bubaque,GW,83.07,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
381,Unhel,IN,76.68,clear sky,23.3333,75.5667,Dhakad Dharmashala
386,Pokhara,NP,71.78,scattered clouds,28.2333,83.9833,Butterfly Lodge
387,Callaway,US,79.97,clear sky,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
389,Luangwa,ZM,71.35,clear sky,-15.6167,30.4167,Gerasimos Safari Lodge
390,Port Moresby,PG,87.22,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
391,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
400,Eyl,SO,77.14,overcast clouds,7.9803,49.8164,Amiin Hotel
406,Manicore,BR,73.51,broken clouds,-5.8092,-61.3003,Hotel Durval
408,Houston,US,80.74,overcast clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
409,Byron Bay,AU,80.71,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
410,Tura,IN,79.48,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
411,Metlaltoyuca,MX,71.08,overcast clouds,20.7333,-97.85,"Hotel ""Doña Yuya"""
413,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
415,Daphne,US,77.52,clear sky,30.6035,-87.9036,Amricans Best Inn
418,Dzaoudzi,YT,78.69,light rain,-12.7887,45.2699,Le Rocher
420,El Progreso,HN,82.15,scattered clouds,15.4,-87.8,Hotel La Arboleda
421,Gat,IL,72.39,clear sky,31.61,34.7642,OlusHome
422,Pundaguitan,PH,84.7,moderate rain,6.3711,126.1689,Leonardo Family Beach House 1
424,Batemans Bay,AU,76.19,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
425,Honiara,SB,84.31,broken clouds,-9.4333,159.95,Heritage Park Hotel
427,Buckeye,US,88.7,overcast clouds,33.3703,-112.5838,Buckeye Motor Hotel
428,Kaseda,JP,81.63,scattered clouds,31.4167,130.3167,Sun Stay Kaseda
440,Antalaha,MG,71.11,broken clouds,-14.9003,50.2788,Hotel Vitasoa
442,Douentza,ML,86.07,broken clouds,14.9951,-2.9517,Ogomono Doumbo
444,Poum,NC,73.13,few clouds,-20.2333,164.0167,Gîte kajeon
445,Mitha Tiwana,PK,78.1,clear sky,32.2486,72.1108,Canal Rest House
448,Pakxan,LA,80.42,overcast clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
450,Lastoursville,GA,72.16,light rain,-0.8143,12.7287,Auberge Bon Coin 02
451,Sweetwater,US,83.03,overcast clouds,25.7634,-80.3731,Li'l Abner Mobile Home Park
452,Cururupu,BR,76.59,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
456,Porto Novo,BJ,80.42,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
457,Morondava,MG,75.6,broken clouds,-20.2833,44.2833,La Case Bambou
458,Balikpapan,ID,83.39,few clouds,-1.2675,116.8289,ibis Balikpapan
459,The Valley,AI,84.06,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
465,Shenjiamen,CN,79.12,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
467,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
469,Marsh Harbour,BS,82.17,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
470,Shadegan,IR,75.11,clear sky,30.6497,48.6647,مسافر خانه ابو ولید
471,Cockburn Town,TC,82.69,clear sky,21.4612,-71.1419,Osprey Beach Hotel
